Feature,Comparison,Null_Hypothesis,Welch_F,ddof1,ddof2,P_value,np2,Result,ND_N_CSV,ND_Mean,CD_N_CSV,CD_Mean,ED_N_CSV,ED_Mean,MD_N_CSV,MD_Mean
gaze_angle_y,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_angle_y)은 모두 같다.",3.6692,3,21.3706,0.028305781222893192,0.169726,기각 (차이 있음),12,0.1522,11.0,0.1916,10.0,0.1173,10.0,0.2941
gaze_vel,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_vel)은 모두 같다.",0.2918,2,19.8628,0.7500858543960403,0.021796,기각하지 못함 (차이 없음),12,22.5838,11.0,25.0463,10.0,23.2823,,
gaze_vel,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_vel)은 모두 같다.",1.1297,2,19.8374,0.3430471468341839,0.062263,기각하지 못함 (차이 없음),12,22.5838,11.0,25.0463,,,10.0,26.8804
gaze_vel,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_vel)은 모두 같다.",1.3922,2,19.2292,0.2724820815221822,0.07967,기각하지 못함 (차이 없음),12,22.5838,,,10.0,23.2823,10.0,26.8804
gaze_vel,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_vel)은 모두 같다.",0.9155,3,21.5616,0.4499353268760934,0.057802,기각하지 못함 (차이 없음),12,22.5838,11.0,25.0463,10.0,23.2823,10.0,26.8804
gaze_amp,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_amp)은 모두 같다.",0.1496,2,19.9396,0.8619984980954605,0.010873,기각하지 못함 (차이 없음),12,0.854,11.0,0.9143,10.0,0.8606,,
gaze_amp,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_amp)은 모두 같다.",0.9399,2,19.9049,0.40733065208177194,0.051846,기각하지 못함 (차이 없음),12,0.854,11.0,0.9143,,,10.0,1.0001
gaze_amp,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_amp)은 모두 같다.",1.2927,2,19.2929,0.2972737763126596,0.072611,기각하지 못함 (차이 없음),12,0.854,,,10.0,0.8606,10.0,1.0001
gaze_amp,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_amp)은 모두 같다.",0.8398,3,21.6096,0.48687634180244976,0.051507,기각하지 못함 (차이 없음),12,0.854,11.0,0.9143,10.0,0.8606,10.0,1.0001
gaze_acc,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_acc)은 모두 같다.",2.8633,2,15.1689,0.08810781934447215,0.127655,기각하지 못함 (차이 없음),12,0.055,11.0,0.3749,10.0,0.2493,,
gaze_acc,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_acc)은 모두 같다.",2.3698,2,15.0335,0.1274674025541128,0.122442,기각하지 못함 (차이 없음),12,0.055,11.0,0.3749,,,10.0,0.1632
gaze_acc,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_acc)은 모두 같다.",1.0345,2,14.3614,0.3804364737484906,0.051846,기각하지 못함 (차이 없음),12,0.055,,,10.0,0.2493,10.0,0.1632
gaze_acc,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_acc)은 모두 같다.",1.9046,3,18.1582,0.16472999574662003,0.094822,기각하지 못함 (차이 없음),12,0.055,11.0,0.3749,10.0,0.2493,10.0,0.1632
